,event_title,date,location
137,UFC Fight Night: Magny vs. Ponzinibbio,17-2018-11,"Buenos Aires, Buenos Aires, Argentina"
138,UFC Fight Night: Korean Zombie vs. Rodriguez,10-2018-11,"Denver, Colorado, USA"
139,UFC 230: Cormier vs. Lewis,03-2018-11,"New York City, New York, USA"
140,UFC Fight Night: Oezdemir vs. Smith,27-2018-10,"Moncton, New Brunswick, Canada"
141,UFC 229: Khabib vs. McGregor,06-2018-10,"Las Vegas, Nevada, USA"
142,UFC Fight Night: Marreta vs. Anders,22-2018-09,"Sao Paulo, Sao Paulo, Brazil"
143,UFC Fight Night: Hunt vs. Oleinik,15-2018-09,"Moscow, Moscow, Russia"
144,UFC 228: Woodley vs. Till,08-2018-09,"Dallas, Texas, USA"
145,UFC Fight Night: Gaethje vs. Vick,25-2018-08,"Lincoln, Nebraska, USA"
146,UFC 227: Dillashaw vs. Garbrandt 2,04-2018-08,"Los Angeles, California, USA"
147,UFC Fight Night: Alvarez vs. Poirier 2,28-2018-07,"Calgary, Alberta, Canada"
148,UFC Fight Night: Shogun vs. Smith,22-2018-07,"Hamburg, Hamburg, Germany"
149,UFC Fight Night: Dos Santos vs. Ivanov,14-2018-07,"Boise, Idaho, USA"
150,UFC 226: Miocic vs. Cormier,07-2018-07,"Las Vegas, Nevada, USA"
151,The Ultimate Fighter: Undefeated Finale,06-2018-07,"Las Vegas, Nevada, USA"
152,UFC Fight Night: Cowboy vs. Edwards,23-2018-06,"Kallang, Singapore"
153,UFC 225: Whittaker vs. Romero 2,09-2018-06,"Chicago, Illinois, USA"
154,UFC Fight Night: Rivera vs. Moraes,01-2018-06,"Utica, New York, USA"
155,UFC Fight Night: Thompson vs. Till,27-2018-05,"Liverpool, England, United Kingdom"
156,UFC Fight Night: Maia vs. Usman,19-2018-05,"Santiago, Chile"
157,UFC 224: Nunes vs. Pennington,12-2018-05,"Rio de Janeiro, Rio de Janeiro, Brazil"
158,UFC Fight Night: Barboza vs. Lee,21-2018-04,"Atlantic City, New Jersey, USA"
159,UFC Fight Night: Poirier vs. Gaethje,14-2018-04,"Glendale, Arizona, USA"
160,UFC 223: Khabib vs. Iaquinta,07-2018-04,"Brooklyn, New York, USA"
161,UFC Fight Night: Werdum vs. Volkov,17-2018-03,"London, England, United Kingdom"
162,UFC 222: Cyborg vs. Kunitskaya,03-2018-03,"Las Vegas, Nevada, USA"
163,UFC Fight Night: Emmett vs. Stephens,24-2018-02,"Orlando, Florida, USA"
164,UFC Fight Night: Cerrone vs. Medeiros,18-2018-02,"Austin, Texas, USA"
165,UFC 221: Romero vs. Rockhold,10-2018-02,"Perth, Western Australia, Australia"
166,UFC Fight Night: Machida vs. Anders,03-2018-02,"Belem, Para, Brazil"
167,UFC Fight Night: Jacare vs. Brunson 2,27-2018-01,"Charlotte, North Carolina, USA"
168,UFC 220: Miocic vs. Ngannou,20-2018-01,"Boston, Massachusetts, USA"
169,UFC Fight Night: Stephens vs. Choi,14-2018-01,"St. Louis, Missouri, USA"
170,UFC 219: Cyborg vs. Holm,30-2017-12,"Las Vegas, Nevada, USA"
171,UFC Fight Night: Lawler vs. Dos Anjos,16-2017-12,"Winnipeg, Manitoba, Canada"
