,red_fighter,blue_fighter,red_kd,blue_kd,red_ss_pct,blue_ss_pct,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl_time,blue_ctrl_time,result,method,round,time,event_title,weight_class,red_ss_att,red_ss_landed,blue_ss_att,blue_ss_landed,red_ts_att,red_ts_landed,blue_ts_att,blue_ts_landed,red_td_att,red_td_landed,blue_td_att,blue_td_landed,red_head_att,red_head_landed,blue_head_att,blue_head_landed,red_body_att,red_body_landed,blue_body_att,blue_body_landed,red_leg_att,red_leg_landed,blue_leg_att,blue_leg_landed,red_dist_att,red_dist_landed,blue_dist_att,blue_dist_landed,red_clinch_att,red_clinch_landed,blue_clinch_att,blue_clinch_landed,red_grnd_att,red_grnd_landed,blue_grnd_att,blue_grnd_landed,fight_time,early_finish,title_bout,date,location
3201,Efrain Escudero,Drew Dober,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0.36666666666666664,0.0,Efrain Escudero , Submission ,1,0.9,UFC 188: Velasquez vs Werdum,Lightweight ,1,1,3,0,1,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0.9,1,0,13-2015-06,"Mexico City, Distrito Federal, Mexico"
3202,Alejandro Perez,Patrick Williams,0,1,0.0,0.5,0.0,0.0,0,1,0,0,0.03333333333333333,0.03333333333333333,Patrick Williams , Submission ,1,0.38333333333333336,UFC 188: Velasquez vs Werdum,Bantamweight ,1,0,4,2,1,0,4,2,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,0.38333333333333336,1,0,13-2015-06,"Mexico City, Distrito Federal, Mexico"
3203,Francisco Trevino,Johnny Case,0,0,0.45,0.36,0.0,0.57,0,0,1,1,1.2833333333333334,5.516666666666667,Johnny Case , Decision - Unanimous ,3,5.0,UFC 188: Velasquez vs Werdum,Lightweight ,74,34,109,40,90,49,143,64,2,0,7,4,39,9,87,24,12,5,14,9,23,20,8,7,67,29,96,31,5,3,11,7,2,2,2,2,15.0,0,0,13-2015-06,"Mexico City, Distrito Federal, Mexico"
3204,Augusto Montano,Cathal Pendred,0,0,0.38,0.41,0.0,0.23,0,0,0,0,0.0,6.366666666666666,Cathal Pendred , Decision - Unanimous ,3,5.0,UFC 188: Velasquez vs Werdum,Welterweight ,55,21,41,17,62,28,75,45,0,0,17,4,33,8,17,1,15,7,4,0,7,6,20,16,42,14,35,15,13,7,6,2,0,0,0,0,15.0,0,0,13-2015-06,"Mexico City, Distrito Federal, Mexico"
3205,Gabriel Benitez,Clay Collard,0,0,0.56,0.21,0.0,0.54,1,0,0,0,0.95,4.783333333333333,Gabriel Benitez , Decision - Unanimous ,3,5.0,UFC 188: Velasquez vs Werdum,Featherweight ,106,60,158,34,144,97,184,54,0,0,11,6,48,13,136,17,37,30,8,5,21,17,14,12,99,55,151,30,2,1,4,3,5,4,3,1,15.0,0,0,13-2015-06,"Mexico City, Distrito Federal, Mexico"
3206,Tim Boetsch,Dan Henderson,0,1,0.5,0.8,0.0,0.0,0,0,0,0,0.0,0.08333333333333333,Dan Henderson , KO/TKO ,1,0.4666666666666667,UFC Fight Night: Boetsch vs Henderson,Middleweight ,6,3,15,12,6,3,15,12,0,0,0,0,5,3,15,12,1,0,0,0,0,0,0,0,6,3,4,3,0,0,2,1,0,0,9,8,0.4666666666666667,1,0,06-2015-06,"New Orleans, Louisiana, USA"
3207,Ben Rothwell,Matt Mitrione,0,0,0.31,0.38,0.0,0.0,1,0,0,0,0.03333333333333333,0.0,Ben Rothwell , Submission ,1,1.9,UFC Fight Night: Boetsch vs Henderson,Heavyweight ,16,5,21,8,17,6,21,8,0,0,1,0,14,4,18,6,0,0,2,1,2,1,1,1,16,5,20,8,0,0,1,0,0,0,0,0,1.9,1,0,06-2015-06,"New Orleans, Louisiana, USA"
3208,Dustin Poirier,Yancy Medeiros,2,0,0.75,0.46,0.5,0.0,1,0,0,0,0.0,1.45,Dustin Poirier , KO/TKO ,1,2.6333333333333333,UFC Fight Night: Boetsch vs Henderson,Lightweight ,36,27,13,6,46,36,13,6,2,1,0,0,34,25,10,5,1,1,3,1,1,1,0,0,13,9,13,6,20,15,0,0,3,3,0,0,2.6333333333333333,1,0,06-2015-06,"New Orleans, Louisiana, USA"
3209,Thiago Tavares,Brian Ortega,0,1,0.41,0.4,0.54,0.0,0,1,0,1,8.416666666666666,0.8833333333333333,Brian Ortega , KO/TKO ,3,4.166666666666667,UFC Fight Night: Boetsch vs Henderson,Featherweight ,94,39,101,41,177,114,117,56,11,6,0,0,87,33,97,39,2,2,3,1,5,4,1,1,76,26,72,22,1,1,7,5,17,12,22,14,14.166666666666668,1,0,06-2015-06,"New Orleans, Louisiana, USA"
3210,Joe Soto,Anthony Birchak,0,2,0.11,0.41,0.0,0.0,0,0,0,0,0.0,0.13333333333333333,Anthony Birchak , KO/TKO ,1,1.6166666666666667,UFC Fight Night: Boetsch vs Henderson,Bantamweight ,9,1,39,16,9,1,41,18,0,0,0,0,7,1,32,11,0,0,3,2,2,0,4,3,8,1,20,5,1,0,15,9,0,0,4,2,1.6166666666666667,1,0,06-2015-06,"New Orleans, Louisiana, USA"
3211,Francisco Rivera,Alex Caceres,1,0,0.55,0.0,0.0,0.0,0,0,0,0,0.0,0.05,Francisco Rivera , KO/TKO ,1,0.35,UFC Fight Night: Boetsch vs Henderson,Bantamweight ,9,5,5,0,9,5,5,0,0,0,0,0,9,5,5,0,0,0,0,0,0,0,0,0,5,2,5,0,0,0,0,0,4,3,0,0,0.35,1,0,06-2015-06,"New Orleans, Louisiana, USA"
3212,Shawn Jordan,Derrick Lewis,1,0,0.62,0.26,0.75,0.0,0,0,0,0,3.5166666666666666,0.9166666666666666,Shawn Jordan , KO/TKO ,2,0.8,UFC Fight Night: Boetsch vs Henderson,Heavyweight ,37,23,23,6,83,65,25,8,4,3,0,0,34,22,20,5,3,1,3,1,0,0,0,0,9,3,15,2,9,5,8,4,19,15,0,0,5.8,1,0,06-2015-06,"New Orleans, Louisiana, USA"
3213,Brian Ebersole,Omari Akhmedov,0,0,0.15,0.37,0.0,0.0,0,0,0,0,0.0,0.0,Omari Akhmedov , KO/TKO ,1,5.0,UFC Fight Night: Boetsch vs Henderson,Welterweight ,13,2,40,15,14,3,41,16,1,0,0,0,7,1,26,7,3,0,5,4,3,1,9,4,13,2,37,14,0,0,3,1,0,0,0,0,5.0,0,0,06-2015-06,"New Orleans, Louisiana, USA"
3214,Chris Wade,Christos Giagos,0,0,0.56,0.33,0.57,0.0,0,0,2,1,6.466666666666667,2.85,Chris Wade , Decision - Unanimous ,3,5.0,UFC Fight Night: Boetsch vs Henderson,Lightweight ,57,32,84,28,80,55,98,41,7,4,4,0,36,15,70,17,12,9,13,10,9,8,1,1,44,23,68,19,11,7,16,9,2,2,0,0,15.0,0,0,06-2015-06,"New Orleans, Louisiana, USA"
3215,Joe Proctor,Justin Edwards,0,0,0.38,0.36,0.0,0.66,3,0,0,0,0.4666666666666667,2.1666666666666665,Joe Proctor , Submission ,3,4.966666666666667,UFC Fight Night: Boetsch vs Henderson,Lightweight ,175,67,171,63,177,69,179,71,0,0,3,2,143,42,139,47,17,14,22,12,15,11,10,4,157,55,141,43,18,12,30,20,0,0,0,0,14.966666666666667,1,0,06-2015-06,"New Orleans, Louisiana, USA"
3216,Ricardo Abreu,Jake Collier,0,0,0.31,0.31,0.42,0.0,0,0,0,0,3.1,0.23333333333333334,Jake Collier , Decision - Split ,3,5.0,UFC Fight Night: Boetsch vs Henderson,Middleweight ,151,47,211,67,174,69,232,84,7,3,0,0,136,38,159,36,7,5,31,18,8,4,21,13,133,38,192,61,18,9,19,6,0,0,0,0,15.0,0,0,06-2015-06,"New Orleans, Louisiana, USA"
3217,Jose Quinonez,Leonardo Morales,0,0,0.66,0.75,0.5,0.0,2,0,0,0,2.183333333333333,0.0,Jose Quinonez , Submission ,1,2.566666666666667,UFC Fight Night: Boetsch vs Henderson,Bantamweight ,3,2,4,3,5,4,4,3,2,1,0,0,3,2,1,0,0,0,1,1,0,0,2,2,1,0,4,3,1,1,0,0,1,1,0,0,2.566666666666667,1,0,06-2015-06,"New Orleans, Louisiana, USA"
3218,Carlos Condit,Thiago Alves,1,0,0.46,0.49,0.66,0.0,0,1,0,0,2.55,0.08333333333333333,Carlos Condit , TKO - Doctor's Stoppage ,2,5.0,UFC Fight Night: Condit vs Alves,Welterweight ,162,75,69,34,200,107,70,35,3,2,0,0,128,50,43,11,18,14,6,6,16,11,20,17,128,49,66,33,8,4,3,1,26,22,0,0,10.0,0,0,30-2015-05,"Goiania, Goias, Brazil"
3219,Nik Lentz,Charles Oliveira,0,1,0.53,0.76,0.2,0.5,1,2,0,0,6.333333333333333,1.95,Charles Oliveira , Submission ,3,1.1666666666666667,UFC Fight Night: Condit vs Alves,Featherweight ,69,37,84,64,95,58,105,84,10,2,2,1,53,24,51,36,10,8,28,25,6,5,5,3,41,19,20,13,21,12,27,23,7,6,37,28,11.166666666666666,1,0,30-2015-05,"Goiania, Goias, Brazil"
3220,KJ Noons,Alex Oliveira,0,0,0.63,0.23,0.0,0.6,0,1,0,0,0.0,1.3333333333333333,Alex Oliveira , Submission ,1,2.85,UFC Fight Night: Condit vs Alves,Welterweight ,11,7,13,3,11,7,14,4,0,0,5,3,8,5,11,1,0,0,0,0,3,2,2,2,10,6,11,3,1,1,1,0,0,0,1,0,2.85,1,0,30-2015-05,"Goiania, Goias, Brazil"
3221,Francimar Barroso,Ryan Jimmo,0,0,0.47,0.57,0.0,0.0,0,0,0,0,6.616666666666666,0.4,Francimar Barroso , Decision - Unanimous ,3,5.0,UFC Fight Night: Condit vs Alves,Light Heavyweight ,96,46,61,35,117,67,74,46,14,0,0,0,53,10,37,14,8,6,12,10,35,30,12,11,55,12,48,24,41,34,13,11,0,0,0,0,15.0,0,0,30-2015-05,"Goiania, Goias, Brazil"
3222,Francisco Trinaldo,Norman Parke,0,0,0.34,0.3,0.0,0.33,0,0,0,0,0.7666666666666667,6.266666666666667,Francisco Trinaldo , Decision - Unanimous ,3,5.0,UFC Fight Night: Condit vs Alves,Lightweight ,191,66,83,25,196,70,89,31,0,0,12,4,148,32,77,23,26,18,6,2,17,16,0,0,173,55,70,17,14,7,10,7,4,4,3,1,15.0,0,0,30-2015-05,"Goiania, Goias, Brazil"
3223,Wendell Oliveira Marques,Darren Till,0,0,0.56,0.6,0.0,0.0,0,0,0,0,1.9833333333333334,1.1,Darren Till , KO/TKO ,2,1.6166666666666667,UFC Fight Night: Condit vs Alves,Welterweight ,39,22,41,25,41,24,42,26,3,0,2,0,14,3,28,15,1,1,8,5,24,18,5,5,18,4,30,17,21,18,1,0,0,0,10,8,6.616666666666667,1,0,30-2015-05,"Goiania, Goias, Brazil"
3224,Rony Jason,Damon Jackson,0,0,0.71,0.38,0.0,0.75,1,0,0,0,0.18333333333333332,2.3666666666666667,NC, Overturned ,1,3.5166666666666666,UFC Fight Night: Condit vs Alves,Featherweight ,7,5,13,5,14,12,22,13,0,0,4,3,2,1,13,5,4,3,0,0,1,1,0,0,4,2,7,0,3,3,3,2,0,0,3,3,3.5166666666666666,1,0,30-2015-05,"Goiania, Goias, Brazil"
3225,Jussier Formiga,Wilson Reis,1,0,0.38,0.42,0.8,0.0,0,0,0,1,1.5166666666666666,4.883333333333334,Jussier Formiga , Decision - Unanimous ,3,5.0,UFC Fight Night: Condit vs Alves,Flyweight ,54,21,66,28,71,36,87,45,5,4,9,0,52,19,47,12,1,1,10,7,1,1,9,9,46,16,44,14,3,1,16,12,5,4,6,2,15.0,0,0,30-2015-05,"Goiania, Goias, Brazil"
3226,Elizeu Zaleski dos Santos,Nicolas Dalby,0,0,0.43,0.29,0.0,0.6,0,0,1,0,0.6,4.233333333333333,Nicolas Dalby , Decision - Split ,3,5.0,UFC Fight Night: Condit vs Alves,Welterweight ,131,57,139,41,135,61,150,50,2,0,10,6,106,37,101,14,17,13,19,12,8,7,19,15,114,44,114,27,14,11,21,12,3,2,4,2,15.0,0,0,30-2015-05,"Goiania, Goias, Brazil"
3227,Lucas Martins,Mirsad Bektic,0,1,0.3,0.56,0.0,0.6,0,0,0,0,0.0,4.833333333333333,Mirsad Bektic , KO/TKO ,2,0.5,UFC Fight Night: Condit vs Alves,Featherweight ,23,7,69,39,27,11,123,78,0,0,5,3,23,7,68,38,0,0,1,1,0,0,0,0,23,7,17,8,0,0,0,0,0,0,52,31,5.5,1,0,30-2015-05,"Goiania, Goias, Brazil"
3228,Juliana Lima,Ericka Almeida,0,0,0.56,0.35,1.0,0.0,0,0,0,0,9.85,0.55,Juliana Lima , Decision - Unanimous ,3,5.0,UFC Fight Night: Condit vs Alves,Women's Strawweight ,72,41,37,13,162,119,58,32,3,3,2,0,54,24,35,11,5,5,1,1,13,12,1,1,39,21,35,12,11,8,1,1,22,12,1,0,15.0,0,0,30-2015-05,"Goiania, Goias, Brazil"
3229,Luiz Dutra,Tom Breese,0,1,0.48,0.61,0.0,0.0,0,0,0,0,0.75,0.9666666666666667,Tom Breese , KO/TKO ,1,4.966666666666667,UFC Fight Night: Condit vs Alves,Welterweight ,43,21,42,26,52,28,42,26,2,0,2,0,25,7,23,11,13,9,15,11,5,5,4,4,26,10,16,8,17,11,15,11,0,0,11,7,4.966666666666667,1,0,30-2015-05,"Goiania, Goias, Brazil"
3230,Anthony Johnson,Daniel Cormier,1,0,0.46,0.56,0.5,0.37,0,3,0,0,0.7166666666666667,9.283333333333333,Daniel Cormier , Submission ,3,2.65,UFC 187: Johnson vs Cormier, Light Heavyweight  ,50,23,41,23,56,28,92,70,2,1,8,3,45,18,37,20,3,3,2,2,2,2,2,1,38,15,17,5,11,7,4,3,1,1,20,15,12.65,1,1,23-2015-05,"Las Vegas, Nevada, USA"
3231,Chris Weidman,Vitor Belfort,0,0,0.66,0.56,0.5,0.0,0,0,0,0,1.2166666666666666,0.0,Chris Weidman , KO/TKO ,1,2.8833333333333333,UFC 187: Johnson vs Cormier, Middleweight  ,69,46,32,18,73,50,36,19,2,1,0,0,67,46,28,15,2,0,4,3,0,0,0,0,12,3,21,10,0,0,11,8,57,43,0,0,2.8833333333333333,1,1,23-2015-05,"Las Vegas, Nevada, USA"
3232,Donald Cerrone,John Makdessi,0,0,0.41,0.55,0.0,0.0,0,0,0,0,0.0,0.0,Donald Cerrone , KO/TKO ,2,4.733333333333333,UFC 187: Johnson vs Cormier,Lightweight ,171,71,129,72,171,71,129,72,0,0,0,0,140,43,65,25,8,5,51,34,23,23,13,13,168,69,126,70,3,2,3,2,0,0,0,0,9.733333333333334,1,0,23-2015-05,"Las Vegas, Nevada, USA"
3233,Travis Browne,Andrei Arlovski,1,1,0.39,0.6,0.0,0.0,0,0,0,0,0.1,0.08333333333333333,Andrei Arlovski , KO/TKO ,1,4.683333333333334,UFC 187: Johnson vs Cormier,Heavyweight ,38,15,85,51,38,15,85,51,0,0,0,0,31,9,73,42,5,4,10,7,2,2,2,2,35,13,43,20,1,1,39,28,2,1,3,3,4.683333333333334,1,0,23-2015-05,"Las Vegas, Nevada, USA"
3234,Joseph Benavidez,John Moraga,0,0,0.57,0.56,0.66,0.0,0,0,0,0,9.166666666666666,0.6833333333333333,Joseph Benavidez , Decision - Unanimous ,3,5.0,UFC 187: Johnson vs Cormier,Flyweight ,109,63,75,42,168,116,92,55,6,4,3,0,73,35,42,14,18,12,26,21,18,16,7,7,61,26,51,21,20,15,19,17,28,22,5,4,15.0,0,0,23-2015-05,"Las Vegas, Nevada, USA"
3235,John Dodson,Zach Makovsky,0,0,0.31,0.43,0.66,0.0,0,0,0,0,0.6333333333333333,0.15,John Dodson , Decision - Unanimous ,3,5.0,UFC 187: Johnson vs Cormier,Flyweight ,98,31,85,37,99,32,87,39,3,2,17,0,76,13,56,14,14,11,12,9,8,7,17,14,77,19,77,31,20,12,8,6,1,0,0,0,15.0,0,0,23-2015-05,"Las Vegas, Nevada, USA"
3236,Dong Hyun Kim,Joshua Burkman,0,0,0.68,0.45,0.12,0.0,1,0,0,0,7.733333333333333,1.3,Dong Hyun Kim , Submission ,3,2.216666666666667,UFC 187: Johnson vs Cormier,Welterweight ,44,30,44,20,165,135,46,21,8,1,2,0,37,26,29,9,6,3,7,4,1,1,8,7,13,4,26,11,11,7,18,9,20,19,0,0,12.216666666666667,1,0,23-2015-05,"Las Vegas, Nevada, USA"
3237,Uriah Hall,Rafael Natal,0,0,0.58,0.43,0.33,0.09,0,0,0,0,0.8666666666666667,2.9166666666666665,Rafael Natal , Decision - Split ,3,5.0,UFC 187: Johnson vs Cormier,Middleweight ,74,43,103,45,78,47,125,63,3,1,11,1,40,15,62,15,21,15,14,6,13,13,27,24,70,41,85,31,4,2,17,14,0,0,1,0,15.0,0,0,23-2015-05,"Las Vegas, Nevada, USA"
3238,Mike Pyle,Colby Covington,0,0,0.61,0.5,0.0,0.2,2,0,1,0,0.7,11.383333333333333,Colby Covington , Decision - Unanimous ,3,5.0,UFC 187: Johnson vs Cormier,Welterweight ,26,16,51,26,46,33,129,95,0,0,10,2,16,10,48,23,9,5,1,1,1,1,2,2,16,7,23,6,3,2,6,4,7,7,22,16,15.0,0,0,23-2015-05,"Las Vegas, Nevada, USA"
3239,Islam Makhachev,Leo Kuntz,0,0,0.64,0.28,0.6,0.0,1,0,0,0,3.0,0.0,Islam Makhachev , Submission ,2,2.6333333333333333,UFC 187: Johnson vs Cormier,Lightweight ,50,32,25,7,80,53,30,11,5,3,0,0,44,27,14,2,4,3,4,1,2,2,7,4,29,17,24,7,14,9,1,0,7,6,0,0,7.633333333333333,1,0,23-2015-05,"Las Vegas, Nevada, USA"
3240,Justin Scoggins,Josh Sampo,0,0,0.5,0.38,0.5,0.14,0,0,0,0,0.5166666666666667,1.45,Justin Scoggins , Decision - Unanimous ,3,5.0,UFC 187: Johnson vs Cormier,Flyweight ,128,64,91,35,128,64,129,72,2,1,7,1,87,31,58,17,32,26,23,10,9,7,10,8,125,62,80,28,3,2,10,6,0,0,1,1,15.0,0,0,23-2015-05,"Las Vegas, Nevada, USA"
3241,Frankie Edgar,Urijah Faber,0,0,0.32,0.32,0.38,0.0,0,0,0,0,3.716666666666667,0.0,Frankie Edgar , Decision - Unanimous ,5,5.0,UFC Fight Night: Edgar vs Faber,Featherweight ,258,83,147,48,266,91,149,50,13,5,3,0,197,40,125,34,29,15,19,11,32,28,3,3,227,61,143,45,29,20,4,3,2,2,0,0,25.0,0,0,16-2015-05,"Manila, Philippines"
3242,Gegard Mousasi,Constantinos Philippou,0,0,0.65,0.19,1.0,0.0,0,0,0,0,10.866666666666667,0.0,Gegard Mousasi , Decision - Unanimous ,3,5.0,UFC Fight Night: Edgar vs Faber,Middleweight ,85,56,46,9,182,137,49,12,4,4,1,0,66,38,28,3,10,9,10,2,9,9,8,4,47,22,46,9,0,0,0,0,38,34,0,0,15.0,0,0,16-2015-05,"Manila, Philippines"
3243,Mark Munoz,Luke Barnatt,0,0,0.49,0.43,0.56,0.5,0,0,0,0,7.916666666666667,0.08333333333333333,Mark Munoz , Decision - Unanimous ,3,5.0,UFC Fight Night: Edgar vs Faber,Middleweight ,71,35,96,42,79,43,154,98,16,9,2,1,61,30,74,27,9,4,21,14,1,1,1,1,41,18,65,20,9,5,28,20,21,12,3,2,15.0,0,0,16-2015-05,"Manila, Philippines"
3244,Hyun Gyu Lim,Neil Magny,0,0,0.41,0.57,0.0,0.5,0,0,0,1,0.5333333333333333,3.1,Neil Magny , KO/TKO ,2,1.4,UFC Fight Night: Edgar vs Faber,Welterweight ,36,15,75,43,36,15,102,64,0,0,4,2,32,12,64,34,3,2,4,2,1,1,7,7,22,7,22,8,14,8,11,9,0,0,42,26,6.4,1,0,16-2015-05,"Manila, Philippines"
3245,Phillipe Nover,Yui Chul Nam,0,0,0.5,0.48,0.5,0.66,0,1,0,0,6.333333333333333,6.566666666666666,Phillipe Nover , Decision - Split ,3,5.0,UFC Fight Night: Edgar vs Faber,Featherweight ,24,12,60,29,74,54,92,56,12,6,3,2,18,7,42,15,5,4,5,3,1,1,13,11,10,3,8,1,9,7,19,16,5,2,33,12,15.0,0,0,16-2015-05,"Manila, Philippines"
3246,Mark Eddiva,Levan Makashvili,0,0,0.41,0.47,0.0,0.53,0,0,0,0,0.45,5.8,Levan Makashvili , Decision - Split ,3,5.0,UFC Fight Night: Edgar vs Faber,Featherweight ,77,32,57,27,82,36,98,63,4,0,13,7,41,5,35,11,13,11,13,8,23,16,9,8,62,19,32,9,15,13,19,13,0,0,6,5,15.0,0,0,16-2015-05,"Manila, Philippines"
3247,Tae Hyun Bang,Jon Tuck,0,1,0.35,0.41,1.0,0.0,0,1,0,0,0.0,1.0333333333333334,Jon Tuck , Submission ,1,3.933333333333333,UFC Fight Night: Edgar vs Faber,Lightweight ,34,12,31,13,34,12,31,13,1,1,0,0,24,6,23,7,5,3,4,4,5,3,4,2,33,12,23,9,1,0,4,2,0,0,4,2,3.933333333333333,1,0,16-2015-05,"Manila, Philippines"
3248,Zhang Lipeng,Kajan Johnson,0,0,0.42,0.39,0.5,0.27,0,1,0,0,2.5166666666666666,6.416666666666667,Kajan Johnson , Decision - Unanimous ,3,5.0,UFC Fight Night: Edgar vs Faber,Lightweight ,47,20,51,20,81,51,54,23,2,1,11,3,31,6,36,10,4,4,6,2,12,10,9,8,32,13,34,8,8,6,11,9,7,1,6,3,15.0,0,0,16-2015-05,"Manila, Philippines"
3249,Li Jingliang,Dhiego Lima,1,0,0.33,0.37,0.0,0.0,0,0,0,0,0.2,0.0,Li Jingliang , KO/TKO ,1,1.4166666666666667,UFC Fight Night: Edgar vs Faber,Welterweight ,39,13,16,6,39,13,16,6,0,0,0,0,38,13,14,5,0,0,2,1,1,0,0,0,24,4,16,6,0,0,0,0,15,9,0,0,1.4166666666666667,1,0,16-2015-05,"Manila, Philippines"
3250,Guangyou Ning,Royston Wee,0,0,0.5,0.56,1.0,0.0,0,0,0,0,3.183333333333333,0.0,Guangyou Ning , KO/TKO ,2,4.983333333333333,UFC Fight Night: Edgar vs Faber,Bantamweight ,92,46,32,18,130,77,43,29,2,2,0,0,68,30,15,3,13,8,6,6,11,8,11,9,82,39,32,18,1,0,0,0,9,7,0,0,9.983333333333334,1,0,16-2015-05,"Manila, Philippines"
3251,Roldan Sangcha'an,Jon Delos Reyes,0,1,0.5,0.42,0.66,1.0,0,3,0,1,2.25,4.333333333333333,Jon Delos Reyes , Submission ,2,3.216666666666667,UFC Fight Night: Edgar vs Faber,Flyweight ,54,27,54,23,61,32,67,36,3,2,1,1,40,15,46,18,10,8,7,4,4,4,1,1,31,12,26,7,16,11,8,5,7,4,20,11,8.216666666666667,1,0,16-2015-05,"Manila, Philippines"
3252,Nolan Ticman,Yao Zhikui,0,0,0.47,0.08,0.0,0.16,0,0,1,0,1.6333333333333333,0.65,Yao Zhikui , Decision - Split ,3,5.0,UFC Fight Night: Edgar vs Faber,Flyweight ,109,52,108,9,109,52,112,12,5,0,6,1,73,24,104,7,12,6,3,1,24,22,1,1,73,20,100,6,28,25,8,3,8,7,0,0,15.0,0,0,16-2015-05,"Manila, Philippines"
3253,Stipe Miocic,Mark Hunt,0,0,0.62,0.34,0.75,0.0,0,0,0,0,16.483333333333334,0.0,Stipe Miocic , KO/TKO ,5,2.783333333333333,UFC Fight Night: Miocic vs Hunt,Heavyweight ,180,113,96,33,464,361,109,46,8,6,0,0,172,105,89,29,7,7,2,0,1,1,5,4,95,48,90,30,18,8,6,3,67,57,0,0,22.78333333333333,1,0,09-2015-05,"Adelaide, South Australia, Australia"
3254,Brad Tavares,Robert Whittaker,0,1,0.28,0.71,0.0,0.0,0,0,0,0,0.0,0.06666666666666667,Robert Whittaker , KO/TKO ,1,0.7333333333333333,UFC Fight Night: Miocic vs Hunt,Middleweight ,7,2,14,10,7,2,14,10,0,0,0,0,5,0,12,9,0,0,1,0,2,2,1,1,7,2,11,7,0,0,0,0,0,0,3,3,0.7333333333333333,1,0,09-2015-05,"Adelaide, South Australia, Australia"
3255,Anthony Perosh,Sean O'Connell,0,0,0.6,0.52,0.0,0.0,0,0,0,0,0.0,0.0,Sean O'Connell , KO/TKO ,1,0.9333333333333333,UFC Fight Night: Miocic vs Hunt,Light Heavyweight ,5,3,38,20,5,3,38,20,0,0,0,0,5,3,33,18,0,0,4,1,0,0,1,1,5,3,21,9,0,0,17,11,0,0,0,0,0.9333333333333333,1,0,09-2015-05,"Adelaide, South Australia, Australia"
3256,Jake Matthews,James Vick,0,0,0.14,0.38,0.5,0.0,0,1,0,0,1.5,0.11666666666666667,James Vick , Submission ,1,4.883333333333334,UFC Fight Night: Miocic vs Hunt,Lightweight ,28,4,26,10,28,4,35,19,2,1,1,0,25,4,17,5,3,0,4,2,0,0,5,3,28,4,24,8,0,0,2,2,0,0,0,0,4.883333333333334,1,0,09-2015-05,"Adelaide, South Australia, Australia"
3257,Hatsu Hioki,Dan Hooker,0,1,0.34,0.34,0.4,0.0,0,0,0,1,2.0,0.15,Dan Hooker , KO/TKO ,2,4.216666666666667,UFC Fight Night: Miocic vs Hunt,Featherweight ,92,32,61,21,98,38,74,34,5,2,0,0,70,23,49,18,21,8,4,1,1,1,8,2,92,32,55,17,0,0,3,2,0,0,3,2,9.216666666666667,1,0,09-2015-05,"Adelaide, South Australia, Australia"
3258,Kyle Noke,Jonavin Webb,0,1,0.37,0.34,0.0,0.25,0,2,1,0,2.0833333333333335,3.0,Kyle Noke , Decision - Split ,3,5.0,UFC Fight Night: Miocic vs Hunt,Welterweight ,82,31,67,23,98,44,80,33,0,0,8,2,53,13,56,19,2,2,6,2,27,16,5,2,62,22,56,18,0,0,7,3,20,9,4,2,15.0,0,0,09-2015-05,"Adelaide, South Australia, Australia"
3259,Daniel Kelly,Sam Alvey,0,1,0.25,0.61,0.0,0.0,0,0,0,0,0.0,0.06666666666666667,Sam Alvey , KO/TKO ,1,0.8166666666666667,UFC Fight Night: Miocic vs Hunt,Middleweight ,8,2,13,8,8,2,13,8,0,0,0,0,7,1,13,8,0,0,0,0,1,1,0,0,8,2,11,6,0,0,0,0,0,0,2,2,0.8166666666666667,1,0,09-2015-05,"Adelaide, South Australia, Australia"
3260,Bec Rawlings,Lisa Ellis,0,0,0.52,0.41,0.0,0.33,1,0,0,0,2.2333333333333334,1.3,Bec Rawlings , Submission ,1,4.15,UFC Fight Night: Miocic vs Hunt,Women's Strawweight ,40,21,17,7,55,33,18,8,0,0,3,1,35,17,14,6,5,4,3,1,0,0,0,0,14,4,9,2,15,10,6,3,11,7,2,2,4.15,1,0,09-2015-05,"Adelaide, South Australia, Australia"
3261,Dylan Andrews,Brad Scott,2,0,0.44,0.56,0.5,0.25,1,1,0,1,0.7166666666666667,5.083333333333333,Brad Scott , Submission ,2,4.9,UFC Fight Night: Miocic vs Hunt,Middleweight ,56,25,75,42,63,32,100,64,2,1,4,1,36,10,66,35,14,11,9,7,6,4,0,0,37,11,40,17,17,12,26,17,2,2,9,8,9.9,1,0,09-2015-05,"Adelaide, South Australia, Australia"
3262,Alex Chambers,Kailin Curran,0,0,0.4,0.42,0.4,0.5,2,0,0,0,0.9666666666666667,4.666666666666667,Alex Chambers , Submission ,3,3.25,UFC Fight Night: Miocic vs Hunt,Women's Strawweight ,109,44,190,81,121,53,239,123,5,2,4,2,63,18,146,50,21,14,22,13,25,12,22,18,88,34,140,54,21,10,37,18,0,0,13,9,13.25,1,0,09-2015-05,"Adelaide, South Australia, Australia"
