,red_fighter,blue_fighter,red_kd,blue_kd,red_ss_pct,blue_ss_pct,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl_time,blue_ctrl_time,result,method,round,time,event_title,weight_class,red_ss_att,red_ss_landed,blue_ss_att,blue_ss_landed,red_ts_att,red_ts_landed,blue_ts_att,blue_ts_landed,red_td_att,red_td_landed,blue_td_att,blue_td_landed,red_head_att,red_head_landed,blue_head_att,blue_head_landed,red_body_att,red_body_landed,blue_body_att,blue_body_landed,red_leg_att,red_leg_landed,blue_leg_att,blue_leg_landed,red_dist_att,red_dist_landed,blue_dist_att,blue_dist_landed,red_clinch_att,red_clinch_landed,blue_clinch_att,blue_clinch_landed,red_grnd_att,red_grnd_landed,blue_grnd_att,blue_grnd_landed,fight_time,early_finish,title_bout,date,location
4433,Cheick Kongo,Shawn Jordan,0,0,0.67,0.36,0.0,0.0,0,0,0,0,6.05,5.983333333333333,Cheick Kongo , Decision - Unanimous ,3,5.0,UFC 149: Faber vs Barao,Heavyweight ,56,38,41,15,84,64,50,23,2,0,5,0,31,13,32,6,21,21,3,3,4,4,6,6,26,12,11,2,30,26,25,12,0,0,5,1,15.0,0,0,21-2012-07,"Calgary, Alberta, Canada"
4434,Brian Ebersole,James Head,0,0,0.39,0.44,0.06,1.0,0,1,0,1,2.9,3.2666666666666666,James Head , Decision - Split ,3,5.0,UFC 149: Faber vs Barao,Welterweight ,88,35,83,37,104,51,108,62,15,1,1,1,53,13,64,22,15,9,16,13,20,13,3,2,77,32,61,19,4,1,21,17,7,2,1,1,15.0,0,0,21-2012-07,"Calgary, Alberta, Canada"
4435,Chris Clements,Matthew Riddle,0,0,0.5,0.44,0.0,0.55,0,1,0,0,0.75,5.45,NC, Overturned ,3,2.033333333333333,UFC 149: Faber vs Barao,Welterweight ,76,38,63,28,103,64,121,79,0,0,9,5,55,21,51,19,16,12,9,7,5,5,3,2,52,22,37,11,13,9,11,6,11,7,15,11,12.033333333333333,1,0,21-2012-07,"Calgary, Alberta, Canada"
4436,Court McGee,Nick Ring,0,0,0.36,0.49,0.0,0.0,0,0,0,0,0.15,0.43333333333333335,Nick Ring , Decision - Unanimous ,3,5.0,UFC 149: Faber vs Barao,Middleweight ,295,108,137,68,350,146,143,71,4,0,7,0,241,70,104,41,27,16,13,12,27,22,20,15,291,106,135,66,4,2,2,2,0,0,0,0,15.0,0,0,21-2012-07,"Calgary, Alberta, Canada"
4437,Roland Delorme,Francisco Rivera,0,1,0.26,0.65,0.0,0.0,0,0,0,0,0.0,0.03333333333333333,NC, Overturned ,1,4.316666666666666,UFC 149: Faber vs Barao,Bantamweight ,60,16,79,52,60,16,82,54,1,0,0,0,42,6,64,39,4,3,2,1,14,7,13,12,59,15,74,48,1,1,3,2,0,0,2,2,4.316666666666666,1,0,21-2012-07,"Calgary, Alberta, Canada"
4438,Anthony Perosh,Ryan Jimmo,0,1,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.03333333333333333,Ryan Jimmo , KO/TKO ,1,0.11666666666666667,UFC 149: Faber vs Barao,Light Heavyweight ,1,0,2,2,1,0,2,2,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0.11666666666666667,1,0,21-2012-07,"Calgary, Alberta, Canada"
4439,Bryan Caraway,Mitch Gagnon,0,0,0.24,0.41,0.33,0.2,1,0,0,1,5.316666666666666,3.3333333333333335,Bryan Caraway , Submission ,3,1.65,UFC 149: Faber vs Barao,Bantamweight ,45,11,65,27,146,82,89,45,9,3,5,1,41,8,60,23,3,3,4,3,1,0,1,1,32,4,32,12,6,4,21,9,7,3,12,6,11.65,1,0,21-2012-07,"Calgary, Alberta, Canada"
4440,Antonio Carvalho,Daniel Pineda,1,0,0.43,0.35,0.0,0.0,0,0,0,0,0.05,0.0,Antonio Carvalho , KO/TKO ,1,1.1833333333333333,UFC 149: Faber vs Barao,Featherweight ,23,10,20,7,23,10,20,7,0,0,0,0,20,8,17,6,2,1,1,1,1,1,2,0,19,8,18,5,1,0,2,2,3,2,0,0,1.1833333333333333,1,0,21-2012-07,"Calgary, Alberta, Canada"
4441,Mitch Clarke,Anton Kuivanen,0,0,0.25,0.54,0.37,1.0,1,1,1,2,4.433333333333334,7.45,Anton Kuivanen , Decision - Split ,3,5.0,UFC 149: Faber vs Barao,Lightweight ,24,6,53,29,52,29,93,66,8,3,3,3,24,6,47,24,0,0,5,4,0,0,1,1,21,5,28,10,1,1,4,3,2,0,21,16,15.0,0,0,21-2012-07,"Calgary, Alberta, Canada"
4442,Mark Munoz,Chris Weidman,0,1,0.0,0.75,0.0,1.0,0,2,0,0,0.0,5.2,Chris Weidman , KO/TKO ,2,1.6166666666666667,UFC on FUEL TV: Munoz vs Weidman,Middleweight ,7,0,37,28,8,1,59,46,0,0,2,2,6,0,29,20,0,0,2,2,1,0,6,6,7,0,7,3,0,0,9,8,0,0,21,17,6.616666666666667,1,0,11-2012-07,"San Jose, California, USA"
4443,James Te Huna,Joey Beltran,1,0,0.49,0.26,0.33,0.5,0,0,0,0,2.8333333333333335,1.85,James Te Huna , Decision - Unanimous ,3,5.0,UFC on FUEL TV: Munoz vs Weidman,Light Heavyweight ,249,122,278,73,301,172,296,90,9,3,2,1,195,80,243,45,31,23,17,11,23,19,18,17,227,109,264,59,6,3,13,13,16,10,1,1,15.0,0,0,11-2012-07,"San Jose, California, USA"
4444,Aaron Simpson,Kenny Robertson,0,0,0.68,0.58,0.42,0.0,0,0,0,0,10.416666666666666,1.3666666666666667,Aaron Simpson , Decision - Unanimous ,3,5.0,UFC on FUEL TV: Munoz vs Weidman,Welterweight ,70,48,50,29,135,97,63,42,14,6,6,0,47,27,28,10,12,10,15,12,11,11,7,7,17,5,22,9,22,18,26,18,31,25,2,2,15.0,0,0,11-2012-07,"San Jose, California, USA"
4445,Karlos Vemola,Francis Carmont,0,0,0.42,0.5,0.12,0.0,2,2,1,0,2.1,3.6333333333333333,Francis Carmont , Submission ,2,1.65,UFC on FUEL TV: Munoz vs Weidman,Middleweight ,7,3,8,4,15,9,16,10,8,1,1,0,4,0,6,2,0,0,2,2,3,3,0,0,5,3,2,1,1,0,1,1,1,0,5,2,6.65,1,0,11-2012-07,"San Jose, California, USA"
4446,TJ Dillashaw,Vaughan Lee,0,0,0.18,0.42,0.66,0.0,1,0,0,0,1.0166666666666666,0.0,TJ Dillashaw , Submission ,1,2.55,UFC on FUEL TV: Munoz vs Weidman,Bantamweight ,16,3,19,8,18,5,31,20,3,2,0,0,14,2,12,3,1,1,5,4,1,0,2,1,16,3,19,8,0,0,0,0,0,0,0,0,2.55,1,0,11-2012-07,"San Jose, California, USA"
